customer_key,customer_id,first_name,last_name,email,signup_date,birth_year,acquisition_channel_key,home_geography_key
1,CUST-000001,Linda,Johnson,linda.johnson1@example.com,2023-05-21,1992,1,34
2,CUST-000002,Andrew,Garcia,andrew.garcia2@example.com,2023-10-30,1987,1,31
3,CUST-000003,Kevin,Johnson,kevin.johnson3@example.com,2023-10-15,1993,2,38
4,CUST-000004,Mark,Nguyen,mark.nguyen4@example.com,2023-05-23,1973,1,18
5,CUST-000005,Nancy,Moore,nancy.moore5@example.com,2023-03-21,1993,4,29
6,CUST-000006,Michael,Thompson,michael.thompson6@example.com,2023-06-26,1981,5,20
7,CUST-000007,Linda,Harris,linda.harris7@example.com,2023-02-10,1983,5,40
8,CUST-000008,Joshua,Gonzalez,joshua.gonzalez8@example.com,2023-12-27,1998,3,13
9,CUST-000009,Joseph,Miller,joseph.miller9@example.com,2023-07-14,1991,2,28
10,CUST-000010,Daniel,Wilson,daniel.wilson10@example.com,2023-12-10,1992,6,21
11,CUST-000011,William,Wright,william.wright11@example.com,2023-05-06,1995,1,11
12,CUST-000012,Emily,Anderson,emily.anderson12@example.com,2023-12-17,1990,4,23
13,CUST-000013,Christopher,Sanchez,christopher.sanchez13@example.com,2023-05-18,1999,6,46
14,CUST-000014,Christopher,Wilson,christopher.wilson14@example.com,2023-12-02,1985,6,14
15,CUST-000015,Thomas,Rodriguez,thomas.rodriguez15@example.com,2023-05-07,1976,2,18
16,CUST-000016,Donna,Sanchez,donna.sanchez16@example.com,2023-07-05,1993,6,36
17,CUST-000017,Patricia,Davis,patricia.davis17@example.com,2023-03-20,1981,4,36
18,CUST-000018,Matthew,Harris,matthew.harris18@example.com,2023-11-02,1956,2,1
19,CUST-000019,Linda,Wright,linda.wright19@example.com,2023-05-17,1975,1,25
20,CUST-000020,Sandra,Smith,sandra.smith20@example.com,2023-05-15,1961,4,36
21,CUST-000021,Karen,Allen,karen.allen21@example.com,2023-11-08,1993,1,31
22,CUST-000022,James,Hill,james.hill22@example.com,2023-06-15,1985,1,27
23,CUST-000023,Jessica,Brown,jessica.brown23@example.com,2023-05-04,1969,6,30
24,CUST-000024,John,Wright,john.wright24@example.com,2023-03-06,1996,2,39
25,CUST-000025,Kimberly,Hill,kimberly.hill25@example.com,2023-08-05,1962,6,15
26,CUST-000026,Karen,Sanchez,karen.sanchez26@example.com,2023-12-10,1980,2,36
27,CUST-000027,Jessica,Anderson,jessica.anderson27@example.com,2023-02-02,1990,2,26
28,CUST-000028,James,Jones,james.jones28@example.com,2023-12-29,1980,1,6
29,CUST-000029,John,Allen,john.allen29@example.com,2023-05-02,1991,2,46
30,CUST-000030,Joshua,Torres,joshua.torres30@example.com,2023-08-31,1992,2,36
31,CUST-000031,Michael,Ramirez,michael.ramirez31@example.com,2023-07-01,1987,2,22
